create mail merge documents using fields supported objects.	erstellen sie seriendruckdokumente mithilfe von objekten, die felder unterstützen.
in the field provided, create an apex class and method.	erstellen sie im bereitgestellten feld eine apex-klasse und -methode.
value1 * value2 and replace each value with merge fields, expressions, or other numeric values.	value1 * value2; ersetzen sie jeden wert durch briefvorlagenfelder, ausdrücke oder andere numerische werte.
select the appropriate article type for the imported articles.	wählen sie den entsprechenden artikeltyp für die importierten artikel aus.
let partner users claim money for expenses incurred on marketing activities. claims are associated with fund requests.	lassen sie partnerbenutzer ansprüche auf geld für kosten anmelden, die für marketing-aktivitäten angefallen sind. beanspruchungen sind mit mittelanforderungen verbunden.
duplicate accounts are merged.	doppelte accounts werden zusammengeführt.
indicates the duration, in seconds, that the customer can remain idle or disconnected before a warning is sent to the agent. the default value is 40 seconds. appears when enable custom timeouts is selected.	gibt die dauer in sekunden an, die der kunde im leerlauf oder getrennt bleiben kann, bevor eine warnung an den agenten gesendet wird. der standardwert beträgt 40 sekunden. wird bei auswahl von benutzerdefinierte timeouts aktivieren angezeigt.
task notifications	aufgabenbenachrichtigungen
indicates the planned end date and time of the event. this field appears only if multiday events are enabled.	gibt das geplante enddatum und die geplante enduhrzeit des ereignisses an. dieses feld wird nur angezeigt, wenn mehrtägige ereignisse aktiviert sind.
administrative access to your company’s microsoft exchange admin center	administrativer zugriff auf die microsoft exchange-verwaltungskonsole ihres unternehmens
the callback url field has a limit of 2000 characters, cumulatively. if you enter several urls and they exceed this limit, create another connected app to manage more callback urls.	das feld für den rückmeldungs-url ist auf insgesamt 2.000 zeichen begrenzt. wenn sie mehrere urls eingeben, die diese obergrenze überschreiten, erstellen sie eine weitere verbundene anwendung, um zusätzliche rückmeldungs-urls unterzubringen.
disabled report and dashboard features	deaktivierte berichts- und dashboard-funktionen
files: add files to library	dateien: hinzufügen von dateien zu einer bibliothek
view login forensics events	anmeldeforensik-ereignisse anzeigen
browser settings	browsereinstellungen
to view the setup options for custom apps:	anzeigen der setup-optionen für benutzerdefinierte anwendungen:
in salesforce, from the app launcher, choose the accellion application. if you configured the accellion logo and icon for the connected app, the app launcher displays them. if identity provider–initiated sso is configured properly, salesforce creates an application session.	wählen sie in salesforce in app launcher die accellion-anwendung aus. wenn sie das accellion-logo und -symbol für die verbundene anwendung konfiguriert haben, werden sie durch app launcher angezeigt. wenn das vom identitätsanbieter initiierte sso ordnungsgemäß konfiguriert ist, erstellt salesforce eine anwendungssitzung.
bangladesh	bangladesch
designating a primary member is not required, but a household can have only one primary member.	das bestimmen eines primären mitglieds ist nicht erforderlich. ein haushalt kann jedoch nur über ein einziges primäres mitglied verfügen.
analytics doesn’t check if a dataset is used in recipes, or in lenses and dashboards that you don’t have access to. consider that after you delete the dataset, these assets will become unusable.	von analytics wird nicht überprüft, ob ein datenset in rezepten oder in linsen und dashboards verwendet wird, auf die sie nicht zugreifen können. beachten sie, dass diese datenbestände nicht mehr verwendet werden können, nachdem sie das datenset gelöscht haben.
select to display a new record page you specify from the dropdown list.	aktivieren sie diese option, um eine neue datensatzseite anzuzeigen, die sie in der dropdown-liste auswählen.
link the new column to the opproles dataset.	verknüpfen sie die neue spalte mit dem datenset "opproles".
snap-ins chat uses a live agent deployment that you can quickly configure. then, simply add the chat code to the web pages where you want the chat snap-in to be available. when agents chat with customers via snap-ins chat, the agents use live agent in their console.	der snap-ins-chat verwendet eine live agent-bereitstellung, die sie schnell konfigurieren können. fügen sie einfach den webseiten, auf denen das chat-snap-in verfügbar sein soll, den chatcode hinzu. wenn agenten über den snap-ins-chat mit agenten chatten, verwenden die agenten dabei live agent auf ihrer konsole.
use the buttons (3) to filter the list view or view related charts.	verwenden sie die schaltflächen (3), um die listenansicht zu filtern oder zugehörige diagramme anzuzeigen.
make a copy of the process-conf.xml file from the \samples\conf directory. be sure to maintain a copy of the original because it contains examples of other types of data loader processing such as upserts and exports.	erstellen sie im verzeichnis \samples\conf eine kopie der datei process-conf.xml. achten sie darauf, eine version der originaldatei beizubehalten, da diese beispiele für andere verarbeitungsvarianten mit data loader enthält, wie gleichzeitiges aktualisieren/einfügen und exportieren.
save the data set.	speichern sie das datenset.
to create or clone service contracts:	erstellen oder duplizieren von serviceverträgen:
these steps are for salesforce admins (or users with the “manage two-factor authentication in user interface” permission) who want to disconnect a user’s salesforce authenticator account in an org’s setup. for example, admins follow these steps when a user loses the device running salesforce authenticator. for users who want to disconnect salesforce authenticator on their device to switch to a new device or simply remove an unused connection, see the help topic remove an account from salesforce authenticator (version 2 or later).	diese schritte sind für salesforce-administratoren (oder für benutzer mit der berechtigung "zwei-faktoren-authentifizierung auf der benutzeroberfläche verwalten") vorgesehen, die den salesforce authenticator-account eines benutzers unter "setup" in einer organisation trennen möchten. administratoren führen diese schritte beispielsweise aus, wenn ein benutzer das gerät verliert, auf dem salesforce authenticator ausgeführt wird. benutzer, die salesforce authenticator auf ihrem gerät trennen möchten, um zu einem neuen gerät zu wechseln oder um einfach eine nicht verwendete verbindung zu entfernen, können das hilfethema entfernen eines accounts aus salesforce authenticator (version 2 oder höher) konsultieren.
create a dashboard to show data from your report with a visual component, for example a pie chart.	erstellen sie ein dashboard, um daten aus ihrem bericht mit einer visuellen komponente anzuzeigen, beispielsweise einem kreisdiagramm.
spanish (chile)	spanisch (chile)
global filters	globale filter
use custom themes to replicate the left-hand navigation scheme seen in the koa and kokua templates.	verwenden sie benutzerdefinierte themen, um das navigationsschema auf der linken seite zu duplizieren, das auch in den vorlagen koa und kokua vorhanden ist.
a reporting snapshot will fail during a scheduled run if:	bericht-snapshots schlagen bei einer geplanten ausführung unter folgenden umständen fehl:
submitted and completion dates	sende- und fertigstellungsdatum
a customer calls your company to request a repair of their front gate. create a work order, and then create an associated return order that tracks the return of the gate to the workshop.	ein kunde ruft ihr unternehmen an, um eine reparatur seiner eingangspforte anzufordern. erstellen sie einen arbeitsauftrag und dann einen verknüpften rückgabeauftrag, der die rückgabe der pforte an die werkstatt verfolgt.
if replying via email you can also add comments on the second line. the comments will be stored with the approval request in salesforce crm.	wenn sie per e-mail antworten, können sie in der zweiten zeile auch kommentare hinzufügen. die kommentare werden zusammen mit der genehmigungsanfrage in salesforce crm gespeichert.
to use a google apps service in salesforce, you must be logged in to your google apps business account. business accounts use your organization's domain; for example, john.doe@company.com. if you are unsure of your google apps username and password, contact your administrator.	um einen google apps-service in salesforce verwenden zu können, müssen sie bei ihrem google apps-geschäftsaccount angemeldet sein. für geschäftsaccounts wird die domäne ihres unternehmens verwendet. beispiel:max.muelle@unternehmen.de. wenn sie nicht wissen, wie ihr benutzername und ihr kennwort für google apps lauten, wenden sie sich an ihren administrator.
object-specific send email actions, available only on cases, give users access to a simplified version of the case feed email action in the salesforce mobile app. you can use the case-specific send email action in salesforce classic, lightning experience, and the salesforce mobile app.	objektspezifische aktionen vom typ "e-mail senden" sind nur für kundenvorgänge verfügbar und bieten benutzern zugriff auf eine vereinfachte version der kundenvorgangsfeed-aktion "e-mail" in der mobilen salesforce-anwendung. sie können die kundenvorgangsspezifische aktion "e-mail senden" in salesforce classic, lightning experience und der mobilen salesforce-anwendung verwenden.
this reporting snapshot unique name already exists. please choose a unique name.	dieser eindeutige name des bericht-snapshots ist bereits vorhanden. wählen sie einen eindeutigen namen aus.
in the microsoft excel text import wizard, select the csv file.	wählen sie im microsoft excel-textkonvertierungs-assistenten die csv-datei aus.
calculating how many business days passed between two dates is slightly more complex than calculating total elapsed days. the basic strategy is to choose a reference monday from the past and find out how many full weeks and any additional portion of a week have passed between the reference date and the date you’re examining. these values are multiplied by five (for a five-day work week) and then the difference between them is taken to calculate business days.in this formula, date_1 is the more recent date and date_2 is the earlier date. if your work week runs shorter or longer than five days, replace all fives in the formula with the length of your week.	die berechnung, wie viele werktage zwischen zwei datumsangaben vergangen sind, ist etwas komplizierter als die berechnung der gesamtanzahl der verstrichenen tage. die einfachste methode ist, einen bezugsmontag aus der vergangenheit zu wählen und zu ermitteln, wie viele vollständige wochen sowie zusätzliche teilwochen zwischen dem bezugsdatum und dem untersuchten datum verstrichen sind. diese werte werden mit fünf multipliziert (für eine woche mit fünf werktagen) und dann werden anhand der differenz die werktage berechnet.in dieser formel ist date_1 das spätere datum und date_2 das frühere datum. wenn ihre arbeitswoche mehr oder weniger als fünf tage hat, ersetzen sie alle fünfen in der formel durch die jeweilige länge ihrer woche.
this apex policy is triggered when someone accesses a connected app.	diese apex-richtlinie wird ausgelöst, wenn jemand auf eine verbundene anwendung zugreift.
delete all the data that was encrypted with the destroyed key, then ask salesforce support to synchronize your data.	sie können alle daten löschen, die mit dem vernichteten schlüssel verschlüsselt wurden, und dann den salesforce-support bitten, ihre daten zu synchronisieren.
console tabs	registerkarten der konsole
update the options in language settings:	aktualisieren sie die optionen unter "spracheinstellungen":
review_cart	review_cart
a customer wants me to delete data associated with them. how can i get their information from an orchestration instance?	ein kunde möchte, dass ich alle mit ihm verbundenen daten lösche. wie erhalte ich seine informationen aus einer orchestrierungsinstanz?
reviewing	prüfen
oauth webflow (get)—oauth authentication is used, and the user is prompted to allow apps to access their information. when you use this access method, the canvas app must initiate the oauth authentication flow.	oauth-webflow (get): oauth-authentifizierung wird verwendet und der benutzer wird aufgefordert, anwendungen den zugriff auf seine informationen zu gestatten. wenn sie diese zugriffsmethode verwenden, muss die canvas-anwendung den oauth-authentifizierungsablauf initiieren.
currency	währung
rfc 3676 4.3	rfc 3676 4.3
first published date	erstmals veröffentlicht am
click delete to permanently delete the existing schedule of when the reporting snapshot runs.	klicken sie auf löschen, um den bestehenden zeitplan für die ausführung des bericht-snapshots dauerhaft zu löschen.
active time	aktive zeit
you can redirect a community home page to its companion #url1# home page. to do this, set the source url to /, which represents the home page for the community, and set the target url to s, which represents the home page for the #url2# site.	sie können eine community-startseite zu ihrer begleitenden #url1#-startseite weiterleiten. setzen sie hierfür den quell-url auf / (steht für die startseite für die community) und setzen sie den ziel-url auf s (steht für die startseite der #url2#-site).
in salesforce, from the app launcher, choose the marketo application. if you configured the marketo logo and icon for the connected app, the app launcher displays them. if identity provider–initiated sso is configured properly, salesforce creates an application session.	wählen sie in salesforce in app launcher die marketo-anwendung aus. wenn sie das marketo-logo und -symbol für die verbundene anwendung konfiguriert haben, werden sie durch app launcher angezeigt. wenn das vom identitätsanbieter initiierte sso ordnungsgemäß konfiguriert ist, erstellt salesforce eine anwendungssitzung.
if you’re using lightning experience and you choose to forecast on product families, keep in mind that the more product families you choose, the more rows appear in the forecasts grid. the forecasts grid shows up to 2,000 rows.	wenn sie lightning experience verwenden und die erstellung von prognosen für produktfamilien auswählen, denken sie daran, dass, je mehr produktfamilien sie auswählen, desto mehr zeilen im prognoseraster angezeigt werden. im prognoseraster werden bis zu 2.000 zeilen angezeigt.
social customer service: outbound attachments	sozialer kundendienst: ausgehende anhänge
record types in permission sets aren’t supported in packages and change sets. as a result, any record type assignments in permission sets in a sandbox organization must be manually reproduced in a production organization.	datensatztypen in berechtigungssätzen werden in paketen und änderungssets nicht unterstützt. daher müssen etwaige datensatztypzuordnungen in berechtigungssätzen in sandbox-organisationen manuell in produktionsorganisationen reproduziert werden.
in the connection's organization, the opportunity is associated with an active price book during acceptance.	in der organisation der verbindung wurde die opportunity in der akzeptanzphase einem aktiven preisbuch zugeordnet.
executing a search that also searches external objects	ausführen einer suche, die auch externe objekte durchsucht
the assigned territories related list on accounts is read only, even for users with the manage territories permission.	die themenliste "zugewiesene regionen" für accounts ist schreibgeschützt, sogar für benutzer mit der berechtigung "regionen verwalten".
request parts	anfordern von teilen
to delete an order product on a draft order or reduction order:	löschen eines auftragsprodukts in auftragsentwürfen oder reduzierungsaufträgen:
nesting an ordered list (numbered) in an unordered list (bulleted) converts the ordered list into an unordered list.	beim schachteln einer geordneten liste (liste mit zahlen) in einer ungeordneten liste (liste mit gliederungspunkten) wird die geordnete liste in eine ungeordnete liste umgewandelt.
opportunityrevenue	opportunityrevenue
home tab page layouts	seitenlayouts für die registerkarte "startseite"
if you remove fields that were made required by an installed managed package from the in the field set container, the required attribute isn’t removed from those fields.	wenn sie felder entfernen, die von einem installierten verwalteten paket im container im feldset als pflichtfelder festgelegt wurden, wird das erforderliche attribut nicht aus diesen feldern entfernt.
you can map your exact hierarchy from data categories to topics, up to eight levels of depth.	sie können ihre hierarchie exakt bis zu einer tiefe von acht ebenen von kategorien bis hin zu themen zuordnen.
the highlighted fields were defined as matches by the associated matching rule.	die hervorgehobenen felder wurden von der zugeordneten abgleichsregel als übereinstimmungen definiert.
choose allow recipient to download as [file type] file to allow the recipient of your content delivery to view the content in its original format. for example, if you uploaded a microsoft® word file, this field will be allow download as .doc file.i	wählen sie download als [dateityp] für empfänger zulassen, um es dem empfänger ihrer inhaltszustellung zu ermöglichen, den inhalt in seinem ursprünglichen format anzuzeigen. wenn sie beispielsweise eine microsoft® word-datei hochgeladen haben, trägt dieses feld die bezeichnung download als .doc-datei zulassen.
run the report and make sure it shows the data and the arrangement that you want.	führen sie den bericht aus und vergewissern sie sich, dass er die gewünschten daten und die gewünschte anordnung anzeigt.
time sheet	arbeitszeitblatt
the title of the attached article.	der titel des angehängten artikels.
available in: enterprise, professional, performance, and developer editions	verfügbarkeit: enterprise, professional, performance und developer edition
a lens is a particular view into a dataset’s data. it’s where you do exploratory analysis and visualization.	eine linse ist eine bestimmte ansicht der daten eines datensets. hier nehmen sie ihre explorative analyse und visualisierung vor.
optionally, select enable text-formatting, images and links to enable the ideas html editor, which gives users wysiwyg html editing and image referencing capabilities when they post or comment on ideas.	wählen sie optional textformatierung, bilder und links aktivieren, um den html-editor für ideen zu aktivieren, mit dem den benutzern wysiwyg-html-funktionen für die bearbeitung und für den verweis auf bilder bereitgestellt werden, wenn sie ideen oder kommentare zu ideen posten.
you don't need to choose a custom field as the next automated approver because you specify later that the ceo must approve all requests.	sie müssen kein benutzerdefiniertes feld als nächsten automatischen genehmiger auswählen, da sie später angeben, dass die geschäftsleitung alle anfragen genehmigen muss.
create a record to connect territories, user assignments, and account assignments. when you create a territory model record, salesforce creates a territory hierarchy for it.	erstellen sie einen datensatz zum verbinden mit regionen, benutzer- und accountzuordnungen. wenn sie einen datensatz für ein regionsmodell erstellen, generiert salesforce eine entsprechende regionshierarchie.
keep these limits and limitations in mind when working with lightning pages and lightning apps in the lightning app builder.	beachten sie bei der arbeit mit lightning-seiten und lightning-anwendungen im lightning-anwendungsgenerator die folgenden obergrenzen und einschränkungen.
viewing files	anzeigen von dateien
be familiar with the api names for the objects and fields that you want to work with. the cloud flow designer displays api names instead of labels.	machen sie sich mit den api-namen für die objekte und felder vertraut, mit denen sie arbeiten möchten. der cloud-flow-designer zeigt anstelle von bezeichnungen api-namen an.
images in tables	bilder in tabellen
continue, but require the end of a current login session	fortfahren, aber erzwingen des beendens einer aktuellen anmeldesitzung
while you’re defining your default account team, you can choose to automatically add it to all your open accounts. if you don’t choose this option, you can add the default team from the account team related list of your accounts.	beim definieren des standard-accountteams können sie die option auswählen, dass das team automatisch allen offenen accounts hinzugefügt werden soll. wenn sie diese option nicht auswählen, können sie das standardteam über die themenliste "accountteam" ihrer accounts hinzufügen.
if you’ve connected data to quip through a live app or live data connection, take into account that restricting the processing of a quip document doesn’t stop any processing outside of quip.	wenn sie daten mithilfe einer live app oder live-datenverbindung mit quip verbunden haben, beachten sie, dass beim einschränken der verarbeitung eines quip-dokuments jegliche verarbeitung außerhalb von quip nicht beendet wird.
the customer portal user, customer portal manager, high volume customer portal, authenticated website, partner user, and standard profiles receive no access.	die profile "kundenportalbenutzer", "kundenportalmanager", "kundenportalbenutzer mit hohem volumen", "authentifizierter website-benutzer", "partnerbenutzer" sowie standardprofile erhalten keinen zugriff.
if you decide that an integration is time-critical to your business operations—for example, an external web form—you must redirect the integration to the secondary organization each time users are redirected there. the same is true for api calls. any time-critical api calls into salesforce must be modified to include the secondary organization credentials, or they'll stop processing during the switch to the secondary organization.	wenn sie festlegen, dass eine integration für ihre geschäftlichen abläufe zeitkritisch ist (z. b. ein externes web-formular), muss die integration immer dann zur sekundären organisation umgeleitet werden, wenn auch die benutzer dorthin umgeleitet werden. das gleiche gilt für api-aufrufe. alle zeitkritischen api-aufrufe in salesforce müssen so geändert werden, dass sie die anmeldeinformationen der sekundären organisation enthalten. ansonsten werden sie während des wechsels zur sekundären organisation nicht mehr ausgeführt.
the dataset recipes subtab displays a list of your existing recipes.	auf der registerkarte "datenset-rezepte" wird eine liste mit ihren vorhandenen rezepten angezeigt.
read or edit on leads or contacts	"lesen" oder "bearbeiten" für leads oder kontakte
case comments publisher	publisher für kommentare zu kundenvorgängen
you can create object-specific actions and customize object-specific action lists	sie können objektspezifische aktionen erstellen und objektspezifische aktionslisten anpassen
loads data from a data source into salesforce, where existing records with matching id fields are updated.	lädt daten aus einer datenquelle in salesforce, wobei bestehende datensätze mit übereinstimmenden id-feldern aktualisiert werden.
click the event number to view the event details and (for errors) a description of the error.	klicken sie auf die ereignisnummer, um die ereignisdetails und (bei fehlern) eine beschreibung des fehlers zu erhalten.
topic catalog component	komponente "themenkatalog"
select include live agent in this app.	wählen sie live agent in diese anwendung mit aufnehmen aus.
assign the app to user profiles	zuweisen der anwendung zu benutzerprofilen
sidebar – by similarity	sidebar – by similarity (randleiste – nach ähnlichkeit)
acronym	acronym
do not generate: salesforce cpq doesn’t create a contracted price for this product.	nicht generieren: salesforce cpq erstellt keinen vertragspreis für dieses produkt.
accessing the ideas tab in salesforce	über die registerkarte "ideen" in salesforce
webtabs and classic javascript apis in console	web-registerkarten und classic javascript-apis in konsole
tips for laying out actions	tipps für die layout-festlegung für aktionen
metadata in apex	metadaten in apex
calendar limitations	kalender, einschränkungen
synchronization with any custom object, as opposed to personal briefcase settings that only support custom objects related to accounts, contacts, opportunities, or leads	synchronisierung mit jeglichen benutzerdefinierten objekten, im gegensatz zu persönlichen aktenkoffereinstellungen, die lediglich benutzerdefinierte objekte unterstützen, die accounts, kontakten, opportunities oder leads zugehörig sind
disabled: prevent the user from ever altering the bundle in the configurator. salesforce cpq instead uses this bundle’s default product option setup when you add it to a quote.	deaktiviert: damit werden jegliche änderungen des pakets im konfigurator durch benutzer verhindert. stattdessen wird in salesforce cpq das standard-setup der produktoptionen dieses pakets verwendet, wenn sie es einem angebot hinzufügen.
contact restriction routes	weiterleitungen zur kontakteinschränkung
to view object permissions:	anzeigen von objektberechtigungen:
to initiate a conference call:	einleiten von konferenzgesprächen
you can add one dashboard per page layout.	sie können ein dashboard pro seitenlayout hinzufügen.
g - # group members	g – # group members
flow triggers are available on most—but not all—objects that are supported by workflow rules.you can see the list of supported objects when you create a new flow trigger. from setup, enter flow triggers in the quick find box, then click flow triggers.	flow-auslöser sind für die meisten – aber nicht für alle – objekte verfügbar, die von workflow-regeln unterstützt werden.es wird eine liste der unterstützten objekte angezeigt, wenn sie einen neuen flow-auslöser erstellen. geben sie unter setup im feld schnellsuche den text flow-auslöser ein und klicken sie dann auf flow-auslöser.
spanish (argentina): es_ar	spanisch (argentinien): es_ar
this component is supported in api version 32.0 and later.	diese komponente wird in api-version 32.0 und höher unterstützt.
login flow	anmelde-flow
customer community plus	kunden-community plus
from the pages menu in community builder, select record detail or your custom record detail page.	wählen sie im menü "seiten" im community-generator "datensatzdetail" oder ihre benutzerdefinierte datensatz-detailseite aus.
either select to run periodically, or this time only.	wählen sie die regelmäßige oder die einmalige ausführung aus.
considerations for universally required fields	überlegungen zu universell erforderlichen feldern
in lightning experience: compose a post. mention people and groups, use rich text formating, and scroll down to see past posts to the dashboard feed. in lightning experience, you always post to the dashboard feed.	in lightning experience: verfassen sie einen post. erwähnen sie personen und gruppen, verwenden sie rich-text-formatierungen und führen sie einen bildlauf nach unten aus, um posts aus der vergangenheit im dashboard-feed anzuzeigen. in lightning experience posten sie immer im dashboard-feed.
asset—asset json object containing any valid fields from the asset object, including custom fields. if included, it’s used to either link to an existing asset by id or serial number, or to create an asset with the specified name.	asset: asset json-objekt, das alle gültigen felder aus dem datenbestands-objekt enthält, einschließlich benutzerdefinierter felder. falls enthalten, wird es entweder verwendet, um auf einen vorhandenen datenbestand zu verweisen (nach id oder seriennummer) oder einen datenbestand mit dem angegebenen namen zu erstellen.
“moderate chatter feeds” (moderatenetworkfeeds)	"chatter-feeds moderieren" (moderatenetworkfeeds)
define a new reporting snapshot by clicking new reporting snapshot.	definieren sie einen neuen bericht-snapshot, indem sie auf neuer bericht-snapshot klicken.
flow wait event type: relative time alarms	flow-warteereignistyp: relative zeitalarme
from setup, in the quick find box, enter outlook, and then select lightning for outlook and sync. click let users access salesforce records from outlook and go to the email application pane assignments by profile section.	geben sie unter "setup" im feld "schnellsuche" den text outlook ein und wählen sie dann lightning für outlook und sync aus. klicken sie auf benutzern den zugriff auf salesforce-datensätze über outlook erlauben und wechseln sie zum abschnitt "zuordnungen nach profil für e-mail-anwendungsbereich".
allow recipient to download as pdf	download als pdf für empfänger zulassen
2	2
install the field service lightning android app on your mobile device from the google play store. the field service lightning mobile app is only available for supported android devices to users with the field service mobile license.	installieren sie die field service lightning-anwendung für android über den google play store auf ihrem mobilgerät. die mobile field service lightning-anwendung ist nur für unterstützte android-geräte für benutzer mit einer field service mobile-lizenz verfügbar.
assign a dialer number so the calls you make don’t appear to be coming from an unknown number.	weisen sie eine dialer-nummer zu, damit die von ihnen getätigten anrufe nicht so aussehen, als kämen sie von einer unbekannten nummer.
to set up ideas for the zone, use the experts group field to select the public group of experts who will monitor the zone for ideas.	um ideen für die zone einzurichten, wählen sie über das feld expertengruppe die öffentliche gruppe von experten aus, die die zone auf ideen überwachen soll.
a new account cannot access data from the previous account.	mit einem neuen account haben sie keinen zugriff auf die daten in ihrem vorherigen account.
once you’re done adding questions, add people to the performance summary cycle.	nachdem sie das hinzufügen von fragen abgeschlossen haben, fügen sie dem leistungsübersichtszyklus personen hinzu.
you can specify which parts of key cpq objects are translated. when you translate a record, you define the text fields’ translated values only for that record. that way you can have different translations for unique records across the same object. salesforce cpq stores the translated values in a localization record.	sie können angeben, welche teile ihrer wichtigen cpq-objekte übersetzt werden sollen. beim übersetzen eines datensatzes definieren sie die übersetzten werte von textfeldern nur für diesen datensatz. auf diese weise sind verschiedene übersetzungen für einzelne datensätze im selben objekt möglich. salesforce cpq speichert die übersetzten werte in einem lokalisierungsdatensatz.
an unlisted group	nicht aufgelistete gruppe
configuring market fund claims for your partner central community involves the following steps.	zur konfiguration der werbekostenbeanspruchungen für ihre partner central-community sind die folgenden schritte erforderlich.
for shortcuts that specify “then,” release the first key, or key combo, before typing the next key. the comma isn’t part of the shortcut.	für tastenkombinationen, für die "dann" angegeben ist, lassen sie die erste taste oder tastenkombination los, bevor sie die nächste taste drücken. das komma gehört nicht zur tastenkombination.
optionally enter a description for the range. if you maintain multiple ranges, use the description field to provide details, such as which part of your network corresponds to this range.	geben sie optional eine beschreibung für den bereich ein. wenn sie mehrere bereiche verwenden, geben sie im feld "beschreibung" details an, beispielsweise welcher teil ihres netzwerks diesem bereich entspricht.
record modification fields	felder zu datensatzänderungen
optionally, fill in the name of the existing record owner in the transfer from field. for leads, you can transfer from users or queues.	optional können sie den namen des bestehenden datensatzinhabers in das feld übertragen von eingeben. bei leads kann die übertragung von benutzern oder warteschlangen ausgehen.
log in to the environment hub, and then select a member org. if you don’t see any member orgs, check your list view.	melden sie sich beim umfeldzentrum an und wählen sie dann eine mitgliedsorganisation aus. wenn sie keine mitgliedsorganisationen sehen können, sehen sie in ihrer listenansicht nach.
click add component in any column.	klicken sie in einer beliebigen spalte auf komponente hinzufügen.
unlisted, only group members and users with the “manage unlisted groups” permission can see the post on your profile. customers who are members of the group can see your posts on the group page but not on your profile.	nicht aufgelistet – nur gruppenmitglieder und benutzer mit der berechtigung "nicht aufgelistete gruppen verwalten" können den post in ihrem profil sehen. kunden, die mitglieder der gruppe sind, können ihre posts auf der gruppenseite sehen, aber nicht in ihrem profil.
portal licenses	portallizenzen
remove formulas	entfernen von formeln
question 2, mandatory: your answer designates the field used in the second source data filter, which comes from your opportunities. (the first pertains to the accounts object, which is covered in the previous wizard page.)	frage 2 (erforderlich): mit ihrer antwort geben sie das feld an, das im zweiten filter für quelldaten verwendet wird, die aus ihren opportunities stammen. (der erste filter bezieht sich auf das objekt "accounts", das durch die vorherige assistentenseite abgedeckt wird.)
breadcrumb component	komponente "breadcrumb"
you must create milestones before you create an entitlement process.	damit sie einen anspruchsprozess erstellen können, müssen sie zuerst meilensteine erstellen.
a wizard guides you through selecting a template and then walks you through the initial setup, including topic and data category setup.	ein assistent begleitet sie beim auswählen einer vorlage und führt sie durch die anfängliche einrichtung. dazu zählen auch die thema- und datenkategorieneinrichtung.
only the first 255 characters are shown for custom long text area fields in list views.	bei benutzerdefinierten feldern vom typ "langer textbereich" werden in listenansichten lediglich die ersten 255 zeichen angezeigt.
update status on push time-out	status bei push-zeitüberschreitung aktualisieren
a predefined suite of classes, known as a test suite	eine vordefinierte suite von klassen, auch test-suite genannt
learn how to use work types to save your field service team time and keep your processes consistent.	machen sie sich damit vertraut, wie sie arbeitstypen so verwenden, dass ihr außendienstteam zeit spart und ihre prozesse einheitlich gehalten werden.
change the quantity of your upgrade bronze to silver product from 1 to 4. salesforce cpq reduces the quantity of your bronze it package to 80.	ändern sie die menge des produkts "upgrade bronze zu silber" von 1 in 4. salesforce cpq verringert die menge des bronze-it-pakets auf 80.
create permission set	erstellen eines berechtigungssatzes
all versions of an entitlement process must be the same type.	alle versionen eines anspruchsprozesses müssen denselben typ aufweisen.
community members can’t flag messages sent from communities that they aren’t a member of or that haven’t turned on flagging for their users.	community-mitglieder können keine nachrichten kennzeichnen, die von communities gesendet wurden, in denen sie kein mitglied sind oder bei denen die kennzeichnung für ihre benutzer nicht aktiviert ist.
the developer pro sandbox add-on is bundled with 5 developer sandboxes.	das paket des developer pro-sandbox-add-ons enthält 5 developer-sandbox-instanzen.
multiply numbers?	zahlen multiplizieren?
if your flow contains an element that interacts with the salesforce database—such as a record update or submit for approval element, it can fail. modify the default behavior by adding fault paths to all elements that can fail.	wenn ihr flow ein element enthält, das mit der salesforce-datenbank interagiert, etwa ein element vom typ "datensatzaktualisierung" oder "zur genehmigung senden", kann der flow fehlschlagen. ändern sie das standardverhalten, indem sie allen elementen, die fehlschlagen können, fehlerpfade hinzufügen.
you can explore which values of variables maximize or minimize your desired outcome. einstein discovery recommends specific actions, quantifies the expected impact, and explains the reasoning behind the recommendations.	sie können erkunden, welche werte der variablen ihr gewünschtes ergebnis maximieren oder minimieren. einstein discovery empfiehlt spezifische aktionen, quantifiziert die erwartete auswirkung und erläutert die den empfehlungen zugrunde liegende argumentation.
add fsl.mdt view permission to the fsl dispatcher permission set.	fügen sie dem field service lightning-disponentenberechtigungssatz fsl.mdt view hinzu.
guest message chat payload	nutzlast von gastnachrichten im chat
flow_start_interview_begin	flow_start_interview_begin
you can add query string parameters to the base url, if necessary. for example, to get a refresh token from facebook for offline access, use #url1#. you need the approval_prompt parameter to ask the user to accept the refresh action so that facebook continues to provide refresh tokens after the first one.	sie können dem basis-url bei bedarf abfragezeichenfolgenparameter hinzufügen. wenn sie beispielsweise ein aktualisierungstoken von facebook für den offlinezugriff abrufen möchten, verwenden sie #url1#. sie benötigen den parameter approval_prompt, um den benutzer zur annahme der aktualisierungsaktion zu bitten, damit von facebook auch weiterhin aktualisierungstoken bereitgestellt werden.
if you delete a protected custom metadata type record that was part of a released package, you can't create another record with that name again.	wenn sie einen datensatz für einen geschützten benutzerdefinierten metadatentyp löschen, der teil eines veröffentlichten pakets war, können sie nicht erneut einen anderen datensatz mit diesem namen erstellen.
anticipate errors	vorhersehen von fehlern
body—body of the post	body: text des posts
